სახელი,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
უღურუ,,,,1,,,,,,
უღურჯან,,,,,1,,,,,
უშანგი,4,6,3,5,4,2,3,,,1
უშბა,,,,,1,,,1,1,
უშიშა,,,,,1,,,,,
უჩა,23,32,28,22,11,15,12,13,7,6
უჩანა,1,1,,,,,,,,
უძალ,,,,,,,,,1,
უჯალ,,,,1,,,,,,
უჯარ,,,,1,,,,,,
ფაათი,,,1,,,,,,,
ფაატიმა,,,,,1,,,,1,
ფაბიო,,,,,,,,,,1
ფაბირ,,1,,,,,,,,
ფაგან,2,2,4,3,2,5,1,2,1,2
ფაგანი,1,,,,,,,,,
ფაგილ,1,,1,1,,,,,2,
ფადაი,,,1,,,,1,1,,
ფადაია,,,1,,,,,,,
ფადაილ,,,,,,,,,1,
ფადიგ,,,,,,,,,,1
ფადილ,,1,,,,,,,,
ფადილ თომა,,,,,,,1,,,
ფადილა,1,,,,,1,,,,
ფაზ,,,,,1,,,,,
ფაზაილ,,,1,,1,,1,1,,
ფაზანი,,,,,,,,1,,
ფაზილ,2,3,1,,,,,1,,
ფაზილა,1,1,2,,,,1,,,
ფაზლი დემირ,,,,,,,,,1,
ფათეჰ,,,1,,,,,,,
ფათი,,,,,,,,,,1
ფათილა,1,,,,,,,,,
ფათიმა,,4,2,3,2,1,3,6,5,2
ფათიმე,,,,,,,,1,1,
ფათიმეგულ,,,,,,,,,1,
ფათიმეი ზაჰრა,,,,,,,,,1,
ფათიქ,,,,,,,,,1,
ფათიჰ,,,1,,,,2,1,1,2
ფათმა,,,,,2,1,,,,2
ფათულახ,,,,,,1,,,,
ფაია,,,,,1,1,,,,
ფაიატ,,,,,,,,,,1
ფაიგ,1,2,2,2,1,,,3,1,1
ფაიგა,1,,,,,,,,,
ფაიდა,,,,,,,,,1,
ფაიზა,,,,,,,,1,,
ფაიზე,,,,1,,,,,,
ფაიკ,3,1,,2,1,,,,,1
ფაიკა,1,,,,,,,,,
ფაილ,,,,,,,1,,,
ფაილაკ,,2,,,,1,,,,
ფაინა,1,1,,,,,,,,
ფაიქ,1,,,,,,1,,,1
ფალეჰ,,,,,,1,,,,
ფამილ,4,2,1,4,5,4,2,2,,1
ფამილა,1,,,,,,1,,,
ფანა,1,,,,,,,,,
ფანახ,1,,,1,,2,,,,
ფანურა,,,1,1,,,,,,
ფარაგათ,,1,,,,,,,,
ფარაია,,,,1,,,,,,
ფარამაზ,,,,,,1,,,,
ფარანდზემ,,,,,,,,,1,
ფარანძემ,1,1,,,,,1,,,
ფარახ,,,,,,,,,,1
ფარაჯ,,,,,,,,,1,
ფარაჰიმ,,,,1,,,,,,
ფარგან,,,,,1,,,,,
ფარგანა,,,,2,,,1,,,1
ფარგია,,,1,,,,,,,
ფარდა,,,,,,1,,,,
ფარდი,,,,,1,,,,,
ფარე,,,,,1,,,,,
ფარვაზ,,,,1,,,1,,,1
ფარვანა,4,3,1,3,1,2,3,2,,2
ფარვანე,,,,,,,,,1,
ფარვეზ,,,,,,,1,,,
ფარვიზ,3,2,4,4,3,,,1,2,1
ფარვინ,3,1,4,2,4,2,1,,3,
ფარზალი,,,,1,,,,,,
ფარი,2,2,4,3,4,2,3,5,6,4
ფარია,,,,,,1,,,,
ფარიდ,14,15,16,12,19,15,10,10,14,19
ფარიდა,6,15,5,7,9,1,5,3,4,2
ფარიდე,,,,,,,,,2,
ფარივანა,,,,,,,,,,1
ფარიზ,3,1,5,,2,2,1,,1,1
ფარიზა,2,,,,,,,,,
ფარიზათ,2,,,,,,,,,
ფარიზალი,,,,,,1,,,,
ფარიზი,,,,,,,1,,,
ფარიზხან,,,,1,,,1,,,
ფარით,,,,1,1,1,1,2,1,
ფარიიზ,,,,,,,,,,1
ფარიმან,,1,,,,,,,,
ფარისხან,,1,,,,,,,,
ფარიტ,,,,,,,,,1,
ფარიშან,,,,1,,,,,,
ფარიჰა,,,,,2,1,,,,
ფარმაელ,1,,,,,,,,,
ფარმაილ,,1,,,,,,,1,
ფარმან,2,3,6,3,,3,3,2,3,2
ფარნა,1,2,,1,,,,1,,
ფარნავაზ,2,1,1,1,,,,1,,1
ფარნავაზი,,,2,1,,,1,,,
ფარნაოზ,1,1,,,,,1,,,
ფარნაოზი,2,,,,1,,,,,1
ფარნიკ,,1,,,1,,,,,
ფარრუხ,,,,,,,,,1,
ფარსადანი,,1,,,,,,,,
ფარუკ,1,,,,,,,,,
ფარუნდა,,1,,,,,,,,
ფარუქ,,,,,,,,,,1
ფარუხა,,1,,,,,,,,
ფარხად,,,1,,,,,,,
ფარხათ,,,,,,1,,,,1
ფარხან,,,,,,,1,,,
ფარხატ,,,,,,,,1,,
ფარჰათ,,,1,,,,,,,
ფარჰამ,,,,,,,1,,,
ფარჰან,,,1,3,,,,,,
ფატეჰ,1,,,,,,,,,
ფატი,2,1,2,2,3,1,1,,4,1
ფატი ანა,,,,,,,,,1,
ფატიმა,25,23,22,25,26,32,31,35,26,21
ფატიმა ელიფ,,,,1,,,,,,
ფატიმა ზაჰრა,,,,,,1,,,,
ფატიმა ნურ,,,,,,,,,,1
ფატიმათ,3,1,1,,,,1,1,4,3
ფატიმათი,,,,,,,,,1,
ფატიმანსა,,,,,,1,1,,,
ფატიმე,1,,1,,2,1,4,1,,3
ფატიმეი ზეჰრა,,,,,,,1,,,
ფატიმეი–ზაჰრა,,,,,1,,,,,
ფატიჰ,,1,,,1,,,,,
ფატმა,,5,2,2,2,,3,1,5,
ფატმა ბარბარე,,,,,,,,,1,
ფატმაგულ,,,,,,,1,,,
ფატმანი,,,,,,,1,,,
ფატმანსა,,,1,,,,,,,
ფატმანურ,,1,1,,,,,,,1
ფატმე,,,,,,,1,,,
ფატმეი- ზეჰრა,,,,1,,,,,,
ფატულაჰ,,,,,1,,,,,
ფატყუმე,,,1,,,,,,,
ფაუზან,,,,,,,,,,1
ფაფახან,,,,,,,1,,,
ფაქიზა,,,1,,1,,,,,
ფაქიზარ,3,,,,,,,,,
ფაშა,6,5,4,3,3,6,6,5,7,1
ფაშიკ,,,,,,,,,,1
ფახრა,,,1,,,,,,,
ფახრად,,2,6,3,4,2,2,4,,
ფახრადდინ,,,,,1,,,,,1
ფახრადინ,1,1,1,2,1,,,,,
ფახრადინი,,,1,,,,,1,,
ფახრათ,2,,,1,,,,,,2
ფახრათდინი,,,,,,,,,,1
ფახრანდა,,,,,,,,1,,
ფახრანსა,1,,,1,,1,,,,
ფახრატ,2,,,1,,,,,1,
ფახრატა,1,,,,,,,,,
ფახრატინ,,,,,,1,,,,
ფახრედდინ,,1,,,,,,,,
ფახრეთ,,,,1,,,,,,
ფახრი,1,,1,,1,1,1,,1,1
ფახრია,1,1,1,,,1,1,,,
ფახრუზ,,,,,,,,,,1
ფაჰედ,,,,,,,,,,1
ფაჰრად,,,,,,,,1,1,1
ფაჰრათ,,,,,1,,,,,
ფეგან,1,,1,,1,1,2,1,,
ფედაიე,,,,,,1,,,,
ფედან,,,1,,,,,,,
ფედია,1,,,1,1,1,,1,,
ფეეტიმა,,,,,,1,,,,
ფეეტიმათ,,,,,,1,,,,
ფეია,,,,,,,1,,1,
ფეიაზ,,,,,,,1,,,
ფეიზა,,,,,1,1,,1,1,
ფეიზი,1,,,,,,,,1,
ფეი–ლინ,,1,,,,,,,,
ფეიმან,1,,1,,1,,1,1,,1
ფეიმანგულ,,,,,1,,,,,
ფეირუზ,,,1,,,,,,,
ფელანია,,,,,,,1,,,
ფელიზ,,,,,1,,,,,
ფელიკს,1,,,,,,,,,
ფელინ,,,,,1,,,,,1
ფელიქს,1,2,2,1,2,2,,1,,
ფელიქს ბენჯამინ,,,,,,,,1,,
ფელიქს ხავიერ,,,,,,,,,,1
ფელიქსი,,1,,,,1,,,,2
ფელიცია,,,,,,,,,,1
ფემინა,,,,,,1,,,,
ფენაჰ,,,,1,,,,,,1
ფეოდორ,,,,,,,,,,1
ფერაი,,,,,1,,,,,
ფერაიე,,1,,,,,,,,
ფერგანე,,,,,,1,,,,
ფერდა,,,,,,1,,,,
ფერდი,,,,,,,,,1,
ფერვაზ,,1,,,,,,,,
ფერვანე,,,2,1,,,,,,
ფერვიზ,,,,,,,1,,,
ფერვინ,1,,1,,,,,,,
ფერი,,,1,,,1,,,1,
ფერიდ,,3,2,,,,,,4,2
ფერიდე,3,1,2,1,2,3,,4,3,
ფერით,,,,,,,1,,1,1
ფერიჰა,,,,2,,1,,1,,
ფერმინა,1,,,,,,,,,
ფერნანდ,,1,,,,,,,,
ფერუზ,,,,,,,1,,,
ფერუზე,,,,,,1,,,,
ფერჰათ,,,,,,,,,1,
ფეტიმათ,,,1,,,,,,1,
ფეტულლაჰ,,,,,,,1,,,
ფეფა,,,,,,,,,,1
ფეფო,,,,,,1,,1,1,1
ფეფრონე,1,,,,,,,,,
ფეჯრი,,,,1,,,,,,
ფიალა,,,1,1,2,,1,1,2,
ფიალე,,,2,1,,,,,1,
ფიბი გრეისი,,,1,,,,,,,
ფიგან,,,,,1,,,,,
ფიდან,35,36,39,21,28,30,28,23,22,10
ფიდანი,,,2,,,,2,,,
ფიდო,,,2,,,,,,1,
ფიესალ,,,,,,1,,,,
ფიზა,,,,,,,,,,1
ფიზულა,,,,,,,,,1,
ფიზული,1,,,3,1,,,,3,1
ფიკრატ,1,,,,,,,,1,
ფილარეტ,,,,,,1,,,,1
ფილარეტი,,,,,,1,,,1,
ფილდან,1,,,,,,,,,
ფილემინა,1,,,,,,,,,
ფილიზ,17,9,5,8,10,4,3,3,1,3
ფილიზი,1,,,,,,,,,2
ფილიმონი,,,,1,,,,,,
ფილიპ უილიამ,1,,,,,,,,,
ფილიპდაფიდ ჩარლზ,,,,,,,,1,,
ფილიპე,,1,2,1,4,3,3,4,,3
ფილიპე  გიორგი,,,,,,,,1,,
ფილიპპ,,,,,,,1,,,
ფილის,3,1,1,2,1,,1,,,
ფილისი,,1,,,,,,,,
ფილომენა,,,,,,,,1,,
ფილოს,,,,,,1,1,,,
ფინალ,,,,,,1,,,,
ფინალე,1,,,,,,,,,
ფინარ,5,6,2,3,4,2,,3,1,1
ფინარა,1,,,1,,,,,,
ფინნეგან ბრიგნელლ,,,,,,,,,,1
ფიოდორ,,,,,1,,,,1,
ფიოდორი,1,,,,,,,,,
ფიონა,,,,,,1,,,,
ფიონარ,1,,,,,,,,,
ფირად,,,1,,,1,,,,
ფირათ,1,,,,,,1,,,
ფირაია,,1,,,,,,,,
ფირან,,,,,1,,,,,
ფირანა,,1,2,2,,,,,,
ფირანგიზ,,1,,,,,1,,,
ფირანე,,1,,,,1,,,,
ფირანი,,,,,,,,,,1
ფირაქ,,1,,,,,,,,
ფირდოვსი,,,,,,,,,,1
ფირდოსი,,1,,,,,,,,
ფირდუს,,,,,1,,,,1,
ფირი,,1,,1,1,,,,,
ფირო,,,,,,,1,,,
ფირუდინ,1,,,,1,,,1,,1
ფირუდუნ,,,,1,,,,,,
ფირუზ,1,3,,1,2,1,,,,2
ფირუზა,5,3,6,6,4,2,5,3,2,4
ფირუზე,,,,,,,2,2,,
ფირუზი,5,,1,1,1,2,,2,1,
ფირხან,,1,,,,,,,,
ფიტან,,,1,,,,,,,1
ფიქრად,,1,,,,,,,,
ფიქრათ,,,1,,,,2,,,1
ფიქრეთ ალი,,,,,,,,,1,
ფიქრია,9,5,11,1,4,3,8,,4,1
ფლარინდა,,,,,1,,,,,
ფლორა,1,2,2,1,,,5,,3,
ფლორენს მარილუის,,,,,,,,,1,
ფლორენცია,1,,,,,,,,,
ფნარ,1,1,,1,,1,,1,,
ფოათ,,,,1,,,,,1,
ფოილაზა,,,,,,,1,,,
ფოირაზ,,,,,,,,,,1
ფოირაზ სალვადორ,,,,,,,,,,1
ფოლად,4,8,6,5,4,2,5,3,6,2
ფოლადა,,,,,,,,,1,
ფოლადი,,,,,,,,1,,
ფოლათ,,,2,2,1,2,3,1,1,2
ფოლატ,,,,,,,,,,1
ფოტინე,1,,,1,,,,,,
ფოტინი,,,1,,,,,,,
ფრათ,,1,,,1,,1,,,
ფრათი,1,,,,,,,,,
ფრანგიზ,,,1,,,1,,,,
ფრანს პალლე,,,,,,,,1,,
ფრანჩესკა,,,,,,,1,,,
ფრანჩესკა-ალექსანდრა,,,,,1,,,,,
ფრანჩიშეკ იაკობ,,,,,,,,,,1
ფრანც,,1,,,,,,,,
ფრანცესკო ანდრია,,,,1,,,,,,
ფრანცისზეკ,,,,,,,1,,,
ფრანცისკო,,,,,,1,,,,
ფრედერიკ,,,,,,,,1,,1
ფრედი,,,1,,,,,,,
ფრეია,,,,,,,,,2,1
ფრეია სტიუარტ,,,,,,,,,1,
ფრენგიზ,,,,,,,1,,,
ფრიდა,,,1,,,1,1,,,
ფრიდონ,2,6,6,2,3,2,5,1,1,3
ფრიდონი,3,3,3,5,5,5,4,4,6,1
ფუად,8,4,3,4,4,3,3,2,1,6
ფუადი,,,1,,,,,,,
ფუათ,1,,,,1,1,,4,1,
ფუატ,1,3,,,1,1,,,,
ფუატი,1,,,,1,,,,,
ფუია,,,,,,,,,,1
ფულად,,1,,,,,,,,
ფუნარ,2,3,,3,1,,,,,
ფუნარე,,1,,,,,,,,
ფუნდა,,,1,,,,,,,
ფუნხან,,,,,,,1,,,
ფუნჰან,,1,1,2,,1,1,1,,
ფურატ,,,,,,,,1,,
ფურგან,,,1,,,2,1,,,
ფურზა,,1,1,2,,,,,,
ფური,,,,,,,,,1,
ფურითი მესომაჩუქუ,,,,,,,,,1,
ფურკან,,,,1,,,,,,1
ფურმან,,,,,,,1,,,
ფურუზ,1,,,,,1,,,,
ფურქან,,,,,1,1,,1,1,
ფურქან თაჰა,,,,,,,,,,1
ფურყან,,,,,,1,,,,
ფურხან,,,,,,,,,1,
ქაამილ,,1,,,,,,,,
ქაან,,,,1,,1,1,,,1
ქაბირათ,,,1,,,,,,,
ქადერ,,,,,,1,,,,
ქადირ,,1,1,,,,,,1,
ქაზიმ,2,,,,1,2,,,,
ქაზუმ,,1,,,,2,1,,,
ქათიბა,,,,,,,,,,1
ქაიანი,,,1,,,,,,,
ქაირა ბულუთ,,,,,,,1,,,
ქაისარ,,,,,,,,,,1
ქაიხან,,,,,,,,,1,
ქალდა,,,,,,,1,,,
ქალეიმათ,,,,,,1,,,,
ქალოგლან,,,,,,,,,1,
ქამალ,1,1,3,1,5,1,5,5,4,4
ქამალა,2,1,2,1,,,,1,,
ქამალე,1,,,,,,,,,
ქამან,,1,,,,,,,,
ქამანდარ,3,,2,,,3,,1,1,1
ქამელია,,,,,,1,,,,
ქამილ,6,5,7,7,7,2,2,5,6,3
ქამილა,2,3,1,,1,,1,,,
ქამირან,,,1,,,,,,,
ქამოლიდინ,,,,,,,1,,,
ქამრან,5,7,3,3,4,2,,3,2,3
ქამულ,1,,1,,,,,1,,
ქამული,,,,,,,,,1,
ქამურან მარია,,,,1,,,,,,
ქანან,15,16,22,14,12,6,5,11,7,6
ქანან ისმაილ,,,,,,,,,1,
ქანანა,,,,1,,,,,,
ქანანი,,,,,,,1,,,
ქარაბექ,1,,,,,,,,,
ქარამ,3,,4,1,,1,2,3,,
ქარამა,,,,,,,,1,,
ქარენ,,,,,,,,1,,
ქართლოს,3,3,1,,,,1,,,
ქართლოსი,,1,,,,1,,,,
ქარიმ,2,,,2,3,3,,3,2,1
ქარიმხან,,1,,,,,,,,
ქარინ,,,,,,,,1,,
ქარინა,,,,,1,,,,,
ქარლ თიბერიუს,,,,,,,1,,,
ქაროლინა,,,1,,,,,,,
ქარუმ,,1,,,,,,,,1
ქაფია,,1,1,,,,,,,
ქაქლიქ,,,1,,,,1,1,,1
ქაქუცა,,,,,,,1,,,
ქაჩავან,,,1,,1,,,,,
ქევინ ეგე,,,,,,1,,,,
ქეთა,12,16,24,15,28,35,51,41,47,50
ქეთავან,,,,,,,,,1,
ქეთათო,3,5,4,4,4,5,4,3,2,3
ქეთევან,321,307,327,259,244,269,218,209,188,154
ქეთევან ანასტასია,,,,,1,,,,,
ქეთევანი,124,129,135,130,129,132,144,128,127,93
ქეთევან–უნა,1,,,,,,,,,
ქეთევანქეთა,,,,,,,,,1,
ქეთი,173,167,168,143,130,128,105,113,78,68
ქეთი  ანასტასია,,1,,,,,,,,
ქეთი  სანდრა,,,,,,,,1,,
ქეთი თეკლა,,,,,,,,,1,
ქეთი სესილია,,,,,,,,,,1
ქეთინო,5,5,3,3,4,2,2,1,1,
ქეთო,2,,2,1,3,7,7,8,4,9
ქეთრინ,,1,1,,,,,,1,
ქეთრინ მელის,,,,1,,,,,,
ქეთუსია,,,,,,,,,,1
ქეით,,,,,,,1,,,1
ქეით აიომიდე,,,,,,,,,,1
ქეილებ დუვეინ,,,,,,,,1,,
ქეის ხერარდ,,,,,,,,,,1
ქელებ ისმატ,,,,,,,1,,,
ქემალ,,1,,,1,,,1,1,
ქემალ სანჟარ,,,,,,,,,1,
ქემალი,,,1,,,,,1,1,
ქენან,3,3,4,3,,2,6,3,3,4
ქენან  ლუკა,,,,,,,,,1,
ქენანი,,,,,,,,1,,
ქენდი,,,,,,,,,1,
ქენდი ორობორ,,,,,,1,,,,
ქენონ,,,,,,1,,,,
ქერემ,,,,,,1,1,1,,
ქერემ საიდ,,,,,,,,,,1
ქერემ ჰაქან,,,,,,,1,,,
ქერი,,,,,,1,,,,
ქერიმ,3,3,3,3,2,7,6,1,4,4
ქერიმი,,1,,,,,,,,
ქერობ,,,,,2,1,,1,,1
ქეროლაინ,,,,,,,,,1,
ქეროპ,,,,,,1,,1,,
ქეროფ,,1,,,1,,,,,
ქეტი,,,,,,,1,,,
ქეცბა,,,,1,,,,,,
ქეჯენ,,,,,1,,,,,
ქვანჩ,,,,1,,,,,,
ქიან,,,,,,,,,,1
ქიან რუო,,,,,,1,,,,
ქიანა,,,,,,,,,,1
ქიარან ჯეიდენ,,,,,,,,1,,
ქიარიმ,,,,,,,1,,,
ქიმა,,,,,,,1,,,
ქიმია,,,1,,,,,,,
ქიმიათ,,,,,,,,,1,
ქიმრანი,1,,,,,,,,,
ქინ ქსიანგ,,,1,,,,,,,
ქინ ჩენგ,,,,,,,,,,1
ქიონია,,,,1,1,,,,,
ქირალ ბურაქ,,,,,,,,,1,
ქიტა,,1,,,,,,,,1
ქიტე,,,,,,,1,,,
ქიფაიათ,1,1,,,,1,,2,,4
ქიშვარდ,1,,,,,,,,,
ქიშმიშ,2,1,,,,2,1,,,
ქლაიდ ნიკოლას,,,,,,,,,,1
ქლოი ჯეიდ,,,,,,,,1,,
ქნარი,1,,,,,,,,,
ქნარიკ,4,6,1,1,4,4,2,2,1,2
ქნქუშ,,1,,,,2,,,,
ქნქუშიკ,,,,,,,,,1,
ქოვსარ,,,,,,,,,1,
ქოვსერ ზეინაბ,,,,,,1,,,,
ქოისარ,,,,,,,,1,,
ქონულ,1,2,1,3,3,,1,,,1
ქორა ჩენლუ,,,,,,,1,,,
ქორაი,,,,,,1,,,,1
ქორინა ჯეინი,,,,,,,1,,,
ქოროგლუ,,,,1,,,,,,
ქოროღლი,,,,,,1,,,,
ქოშკარ,,1,,,,,,,,
ქრისთინა,,,1,,,1,,,1,
ქრისია,,,,1,,,,,,
ქრისტა,,,1,,,,,,,
ქრისტესია,,1,,,1,1,,,,
ქრისტეფორე,,,,,,,2,,,
ქრისტი,5,9,10,13,18,8,10,15,15,5
ქრისტიანა,,,,,,,,,,1
ქრისტინა,78,74,62,67,39,44,36,30,33,25
ქრისტინე,120,117,110,99,106,113,107,108,92,58
ქრისტინე  ქეთევანი,1,,,,,,,,,
ქრისტო,1,,1,1,1,1,,,,
ქრისტოფერ,,,,,,,,1,,
ქრისტოფერ მარკუს,,,,,,1,,,,
ქრისტოფერ უილიამ,,,,,1,,,,,
ქრისწინა,,,,1,,,,,,
ქსენია,2,3,,3,,3,2,1,4,2
ქსენია ვალენტინა,,,,,,1,,,,
ქსიუშა,,,,,,,,,1,
ქუბრა,,,1,,,,1,,,
ქუზეი,,,,,,1,1,1,1,
ქულარ,,,,,,1,,,,
ქულთან,1,,,,,,,,,
ქულუ,,,,,1,,,,,
ქუმსალ,,,,,,,,1,,
ქუნელ,,1,,,,,,,,
ქურბან,,1,,1,1,,,,,1
ქუროშ,,,,,,,,,,1
ქუფაიათ,,,,,,1,,,,
ქუქლა,,,,,,,,,1,
ქუჯი,2,1,,1,,,1,1,1,
ქუჯი ალექსანდრე,,,,,,,1,,,
ღაზაროს,,,1,,1,1,,,,
ღალია,,,,,,1,,,,
ღალიბ,,,,,,,,1,,
ღევონდ,,1,,,,,,,,
ღვთისავარი,,,1,,,,,,,
ღვთისო,2,2,,1,,,,,,2
ღუკას,1,,,,,1,1,,1,
ღურუ,,,,,,,,,1,
ყარამან,,,,2,,,,,,
ყარამანი,,,,,,,,,1,
ყარამანი ალექსანდრე,,,,,,,1,,,
ყაჩახ,,,1,,,,,,,
ყურვან,,,,,,1,,,,1
შა იუ,,,,,,1,,,,
შაამ,,,,,,,1,,,
შაბადინ,,,,,,,,1,,
შაბან,,,,1,,,,,,
შაბინა,2,1,,,,,1,,,
შაბინამ,1,,,1,,1,,2,1,
შაბნამ,1,4,2,,1,4,2,1,2,
შაგენ,,,1,,,,,,,
შადათ,,,,,1,,,,,
შადი,,,,1,,,,,,
შადიე,,,,1,,,,,,
შადიმა,,,,,,1,,,,
შავან,,,,,,,1,,,
შავარშ,2,1,,1,2,,,1,,2
შავთელი,,,,,,,,,1,
შავიკ,,,,,,,,,1,
შავიტ,,,,,,,,,,1
შავლეგ,1,1,2,,1,,1,,,
შავლეგი,2,1,,,,,1,,1,
შავლეგო,,1,,,,,1,,,
შაი,1,,,,,1,2,2,1,3
შაი ლი,,,,1,,1,,,,
შაია,,1,,,,,,,,
შაიასტა,,1,,,,,,,,
შაიგ,,,,1,,,,,,
შაიკ,,,1,,,,,,,
შაილი,,,,,,,,1,,1
შაილი ლიორ,,,,,,,,,,1
შაილოჰ რუთჰ,,,,1,,,,,,
შაიმადინ,,,1,,,,,,,
შაიმან,,,,1,,,,,,
შაინ,,,1,,,,,,,
შაინა,,,,,,,,,,1
შაირ,,,,,,,1,,,
შაისდა,,,,,,,,1,,
შაისმაილი,,,,,,,1,,,
შაიქ,,,1,,,,,,,
შაიხისლომ,,,,,,,,,1,
შაკა,1,1,1,1,2,2,1,,1,1
შაკირ,,,1,,,,,,,
შაკო,15,19,16,23,13,18,22,18,8,6
შაკო – დათა,,1,,,,,,,,
შაკუნა,,,,,1,,,,,
შალალა,1,3,4,,,1,,,,
შალალე,2,1,1,,,,,,,1
შალევ,,,,,,,,,2,
შალერი,,,,1,,,,,,
შალვა,80,88,91,65,60,64,35,57,34,30
შალვა ვაჩე,,,,,,,,,,1
შალვა– იოანე,1,,,,,,,,,
შალიკო,3,,1,2,2,2,,,2,
შალომ,,,,,,,,,1,
შამად,,,,,1,,,,,
შამათ,,,,,1,,,,,
შამამა,1,,2,3,3,1,,,1,
შამამა ვილდან,,,,,,,1,,,
შამაღა,,,1,,,,,,,
შამბა,,1,,,,,,,,
შამბად,,,,,1,,,,,
შამბათ,1,,,,,,,,,
შამგარი,,,,,1,,,,,
შამდინ,,,1,,,,,,,
შამელა,,,,1,,,,,,
შამი,,,1,,,,,,,
შამია,,,1,,,,,,,
შამიათ,,,,,,,,1,,
შამილ,5,4,7,7,2,4,8,6,3,4
შამილა,1,,1,2,,,,,,
შამილი,1,2,1,,,1,,,2,
შამირ,,,1,,,,,,,
შამისდან,,,,1,,,,,,
შამისთან,1,1,,,,,,,,
შამისტან,1,1,1,2,,1,,1,1,
შამმად,,1,,,,,,,,
შამმათ,,1,,,,,,,,
შამო,,,2,,,,,,,
შამრიკ,,,,,,1,,,,
შამსა,,,,,1,,,,,
შამსიათ,,,,,,,1,,,
შამსუდინ,,,,,2,,,1,,
შამშა,,,,,,,,1,,
შამში,,2,1,1,1,1,1,1,1,
შამშირა,,,,,,1,,,,
შამხალ,1,,,,,,1,,,
შამხალილ,,,,,,,,,1,
შანა,,,,,,1,,,,
შანაი,,,,,2,1,,1,1,
შანდე,,1,,,,,,,,
შანშე,,1,,,,,,,,
შარაბან,1,,,,,,,,,
შარაბანი,1,1,,1,,,1,1,,
შარაფ,,,,,,1,,,1,1
შარაფადინ,,,1,,,,,,,
შარგია,,1,1,,,,,,1,1
შარვა,,,,,1,,,,,
შარიათა,,,1,1,,,,,,
შარიფ,3,1,,,,,1,1,1,1
შარიფა,,,,,,,,1,,
შარლინ,,,,,,,,1,,
შარლოტა,1,,,1,,,,1,,1
შარლოტე,,,,,,,,1,,
შარლოტტე ქრისტინა,,,,1,,,,,,
შარმაზი,,,,,,,,1,,
შარმინ,,,,,,1,,1,,
შარონა,,,,,,,,,,1
შარუმა,,,,,,,,,,1
შარხან,,,,1,,,,,,
შატო,,,,,,,,1,,
შაფა,2,2,2,4,1,1,,2,,2
შაფაგ,,,,,,,1,,,
შაფაიათ,,,,,,,,1,,
შაფალე,,1,,,,,,,,
შაფია,,,,,1,,,,,
შაფიგა,1,,,,,3,1,1,1,
შაფიკა,,1,,,,,1,1,,1
შაფირა,,1,,,,,,,,
შაქარ,,,,,,1,,,,
შაქი,,,,,,1,,,,
შაქირ,,1,1,3,,1,,3,,5
შაქრიკო,,,,,1,,,,,
შაქრო,7,5,1,1,2,6,3,2,2,
შახაბ,,,,,1,,,,,
შახალი,,,,,,,1,1,2,
შახანა,3,1,1,,,,,,,
შახარ,,,,,,,,,1,
შახასან,,,1,1,,,,,,
შახბაზ,,3,1,,,,1,,1,
შახგუსეინ,,,,,,1,,,,
შახვაზ,1,,,,,,,,,
შახვალად,1,,,1,1,,,1,,
შახვალათ,,,,,,,,4,1,
შახვალატ,,1,,,,,,,,
შახზადა,,,1,2,,,,1,,
შახზადე,,,1,,,1,,,,
შახი,1,,,,,1,,,,1
შახია,,,,,1,,,,,
შახინ,,4,2,,1,1,2,,2,1
შახისმაილ,2,,1,,,,,,,
შახიტ,,,,,,,,,1,
შახლა,,,2,,,1,,,,
შახლარ,,,,,1,,1,,,
შახლიხ,1,,,,,,1,1,,
შახლქ,,,1,,,,,,,
შახმარ,,,,,,,1,,,
შახმარდან,,,1,,,1,1,,1,
შახმურად,2,1,,,,,,,,
შახმურათ,,,,,,,,,1,
შახნაზ,2,,1,2,,2,1,,1,
შახნაზი,,,,,1,,,,,
შახნიარ,,1,2,,,,,1,1,
შახნისა,,1,,,,,1,,,
შახრაბ,,,,,,,1,,,
შახრაბანა,,,,,1,,,,,
შახრადინ,,,1,,,,,,,
შახრაზად,,,,1,,,,,,
შახრაია,,1,,,,,,1,,1
შახრი,,,1,,,,,,,
შახრიბან,,,,,,1,,,,
შახრიზად,1,,1,,,,,,,
შახრუდინ,,,,,,,,,,1
შახსადა,1,,,,,,,,,
შახსანამ,4,,,1,,,2,,2,
შახფარი,1,,1,,,,,,,
შახქამალ,,,1,,,,,,,
შახჰასან,,,1,,,,,,,
შაჰამ,,,,,,1,,,,
შაჰანა,,,,,1,1,2,,1,
შაჰანე,,,,,,,,,1,
შაჰარ,,,,,,,1,,,
შაჰარ მორდეხაი,,,,,,,,,,1
შაჰარ ცილა,,,,,,,,,1,
შაჰაფ,,,,,,,,,,1
შაჰენ,1,,3,,,,1,,,
შაჰზადე,,,,,,,,1,,1
შაჰზანამ,,,,,,,,,1,
შაჰიდ,,,,,,1,,,,
შაჰიზარ,,,1,,,,,,,
შაჰინ,2,3,5,2,3,6,6,3,4,
შაჰინსა,,,1,,,,,,,
შაჰლა,1,,1,3,2,,,,,
შაჰლარ,,,,,1,,,,,
შაჰმირ,,,,,1,,,1,,
შაჰმურაზ,,,,,,,1,,,
შაჰნაზ,,,1,,,,,,,
შაჰნიარ,,1,,,,,,,1,
შაჰნიგარ,,,,,,,,,,1
